Game,Rally,Player,Team,Space,Action,Errors,Nothing,Score
7,20.0,ITA_7,ITA,8,R_1,,1.0,
7,20.0,ITA_6,ITA,2,G_1,,1.0,
7,20.0,ITA_19,ITA,2,A_0,,,1.0
7,20.0,FRA_9,FRA,Y,JS_0,,1.0,
7,20.0,FRA_9,FRA,5,D_0,1.0,,
19,5.0,USA_2,USA,9,R_0,,1.0,
19,5.0,USA_11,USA,2,G_1,,1.0,
19,5.0,USA_8,USA,3,A_0,,,1.0
19,5.0,BRA_1,BRA,M,JS_0,,1.0,
19,5.0,BRA_1,BRA,6,D_0,1.0,,
12,3.0,NED_18,NED,8,R_0,,1.0,
12,3.0,NED_2,NED,2,G_0,,1.0,
12,3.0,NED_14,NED,3,A_0,,,1.0
12,3.0,ITA_6,ITA,M,JS_0,,1.0,
12,3.0,ITA_15,ITA,8,D_0,1.0,,
1,46.0,POL_17,POL,8,R_1,,1.0,
1,46.0,POL_19,POL,2,G_1,,1.0,
1,46.0,POL_16,POL,2,A_0,,,1.0
1,46.0,IRI_22,IRI,Y,JS_0,,1.0,
1,46.0,IRI_22,IRI,5,D_0,1.0,,
29,26.0,USA_8,USA,Y,JS_0,1.0,,
1,20.0,POL_17,POL,8,R_0,,1.0,
1,20.0,POL_19,POL,6,G_0,,1.0,
1,20.0,POL_16,POL,1,A_0,1.0,,
1,20.0,IRI_2,IRI,Y,JS_0,,1.0,
22,20.0,USA_8,USA,1,B_0,1.0,,
22,20.0,USA_8,USA,7,R_0,,1.0,
22,20.0,USA_11,USA,2,G_0,,1.0,
22,20.0,USA_2,USA,5,A_0,,1.0,
22,20.0,BRA_16,BRA,M,JS_0,,1.0,
22,20.0,BRA_18,BRA,6,D_0,,1.0,
22,20.0,BRA_6,BRA,5,G_0,,1.0,
22,20.0,BRA_9,BRA,3,A_0,,,1.0
3,26.0,IRI_2,IRI,8,R_0,,1.0,
3,26.0,IRI_18,IRI,1,G_0,,1.0,
3,26.0,IRI_17,IRI,1,A_0,,,1.0
3,26.0,POL_6,POL,Y,JS_0,,1.0,
3,26.0,POL_14,POL,8,D_0,1.0,,
2,13.0,IRI_1,IRI,5,R_1,,1.0,
2,13.0,IRI_18,IRI,2,G_1,,1.0,
2,13.0,IRI_22,IRI,2,A_0,,,1.0
2,13.0,IRI_17,IRI,4,D_0,1.0,,
2,13.0,POL_19,POL,L,FS_0,,1.0,
18,6.0,JAP_12,JAP,4,R_0,,1.0,
18,6.0,JAP_8,JAP,2,G_0,,1.0,
18,6.0,JAP_6,JAP,2,A_0,,,1.0
18,6.0,FRA_17,FRA,M,JS_0,,1.0,
18,6.0,FRA_14,FRA,2,B_0,1.0,,
2,31.0,POL_19,POL,2,D_0,1.0,,
2,31.0,POL_16,POL,4,R_1,,1.0,
2,31.0,POL_19,POL,2,G_0,,1.0,
2,31.0,POL_15,POL,2,A_0,,1.0,
2,31.0,IRI_18,IRI,L,FS_0,,1.0,
2,31.0,IRI_1,IRI,2,B_0,,,1.0
21,4.0,BRA_17,BRA,9,R_0,,1.0,
21,4.0,BRA_1,BRA,2,G_1,,1.0,
21,4.0,BRA_18,BRA,5,A_0,,,1.0
21,4.0,USA_8,USA,M,JS_0,,1.0,
21,4.0,USA_8,USA,8,D_0,1.0,,
24,2.0,FRA_17,FRA,7,R_1,,1.0,
24,2.0,FRA_11,FRA,2,G_0,,1.0,
24,2.0,FRA_4,FRA,3,A_0,,,1.0
24,2.0,UAS_11,UAS,Y,JS_0,,1.0,
24,2.0,UAS_20,UAS,1,B_0,1.0,,
7,38.0,ITA_12,ITA,8,D_0,1.0,,
7,38.0,ITA_6,ITA,2,R_0,,1.0,
7,38.0,ITA_12,ITA,4,G_0,,1.0,
7,38.0,ITA_5,ITA,1,A_0,,1.0,
7,38.0,FRA_9,FRA,Y,JS_0,,1.0,
7,38.0,FRA_11,FRA,9,D_1,,1.0,
7,38.0,FRA_9,FRA,2,G_1,,1.0,
7,38.0,FRA_4,FRA,3,A_0,,,1.0
21,32.0,BRA_18,BRA,9,R_0,1.0,,
21,32.0,USA_11,USA,Y,JS_0,,,1.0
12,30.0,ITA_9,ITA,R,JS_0,1.0,,
4,3.0,POL_16,POL,4,R_0,1.0,,
4,3.0,IRI_1,IRI,Y,FS_0,,1.0,
4,3.0,IRI_22,IRI,1,A_0,,,1.0
4,5.0,POL_7,POL,L,FS_0,1.0,,
14,44.0,ITA_16,ITA,M,JS_0,1.0,,
9,39.0,ITA_5,ITA,1,B_0,,1.0,
9,39.0,ITA_5,ITA,1,D_0,,1.0,
9,39.0,ITA_6,ITA,3,D_0,1.0,,
9,39.0,NED_12,NED,2,At_0,,,1.0
9,39.0,NED_7,NED,1,D_0,,1.0,
9,39.0,NED_2,NED,2,G_0,,1.0,
9,39.0,NED_12,NED,3,D_0,,1.0,
9,39.0,NED_8,NED,2,R_0,,1.0,
9,39.0,NED_2,NED,2,G_0,,1.0,
9,39.0,NED_14,NED,1,At_0,,1.0,
9,39.0,ITA_6,ITA,M,JS_0,,1.0,
9,39.0,ITA_16,ITA,3,B_0,,1.0,
6,11.0,ITA_7,ITA,1,D_0,,1.0,
6,11.0,ITA_15,ITA,1,G_0,,1.0,
6,11.0,ITA_16,ITA,3,A_0,,1.0,
6,11.0,ITA_15,ITA,3,B_0,1.0,,
6,11.0,FRA_4,FRA,6,D_0,,1.0,
6,11.0,FRA_17,FRA,4,D_0,,1.0,
6,11.0,FRA_11,FRA,5,G_0,,1.0,
6,11.0,FRA_9,FRA,1,At_0,,,1.0
6,11.0,ITA_7,ITA,5,D_0,,1.0,
6,11.0,ITA_6,ITA,6,G_0,,1.0,
6,11.0,ITA_15,ITA,1,A_0,,1.0,
6,11.0,ITA_5,ITA,8,R_0,,1.0,
6,11.0,ITA_6,ITA,3,G_0,,1.0,
6,11.0,ITA_16,ITA,3,A_0,,1.0,
6,11.0,FRA_14,FRA,Y,JS_0,,1.0,
6,11.0,FRA_1,FRA,1,B_0,,1.0,
26,6.0,FRA_14,FRA,Y,JS_0,1.0,,
26,35.0,USA_2,USA,M,JS_0,1.0,,
22,5.0,BRA_28,BRA,Y,JS_0,1.0,,
20,8.0,USA_20,USA,3,D_0,,1.0,
20,8.0,USA_11,USA,3,G_0,,1.0,
20,8.0,USA_20,USA,3,A_0,,,1.0
20,8.0,BRA_1,BRA,6,D_0,1.0,,
20,8.0,USA_22,USA,8,R_0,,1.0,
20,8.0,USA_11,USA,5,G_0,,1.0,
20,8.0,USA_5,USA,3,A_0,,1.0,
20,8.0,BRA_18,BRA,Y,JS_0,,1.0,
20,8.0,BRA_9,BRA,1,B_0,,1.0,
26,14.0,USA_22,USA,5,R_0,,1.0,
26,14.0,USA_11,USA,3,G_0,,1.0,
26,14.0,USA_8,USA,1,A_0,,,1.0
26,14.0,FRA_9,FRA,Y,JS_0,,1.0,
26,14.0,FRA_2,FRA,4,D_0,1.0,,
7,7.0,FRA_17,FRA,4,R_1,,1.0,
7,7.0,FRA_11,FRA,2,A_0,,,1.0
7,7.0,ITA_19,ITA,L,JS_0,,1.0,
7,7.0,ITA_6,ITA,3,D_0,1.0,,
17,25.0,JAP_8,JAP,2,B_0,,1.0,
17,25.0,JAP_8,JAP,2,D_0,,1.0,
17,25.0,JAP_7,JAP,2,G_0,,1.0,
17,25.0,JAP_12,JAP,1,A_0,,,1.0
17,25.0,FRA_2,FRA,4,D_0,1.0,,
17,25.0,JAP_20,JAP,8,R_0,,1.0,
17,25.0,FRA_4,FRA,Y,JS_0,,1.0,
17,25.0,FRA_14,FRA,2,B_0,,1.0,
20,24.0,BRA_17,BRA,9,R_0,,1.0,
20,24.0,BRA_1,BRA,2,G_0,,1.0,
20,24.0,BRA_18,BRA,1,A_0,,,1.0
20,24.0,USA_11,USA,M,JS_0,,1.0,
20,24.0,USA_22,USA,4,D_0,1.0,,
17,9.0,JAP_5,JAP,3,B_0,,1.0,
17,9.0,JAP_5,JAP,3,B_0,,1.0,
17,9.0,JAP_20,JAP,8,D_0,1.0,,
17,9.0,FRA_11,FRA,4,D_0,,1.0,
17,9.0,FRA_17,FRA,5,G_0,,1.0,
17,9.0,FRA_19,FRA,1,A_0,,,1.0
17,9.0,JAP_5,JAP,6,R_1,,1.0,
17,9.0,JAP_8,JAP,3,G_1,,1.0,
17,9.0,JAP_7,JAP,2,A_0,,1.0,
17,9.0,FRA_14,FRA,Y,JS_0,,1.0,
17,9.0,FRA_14,FRA,2,B_0,,1.0,
17,9.0,FRA_19,FRA,8,D_0,,1.0,
17,9.0,FRA_11,FRA,2,G_0,,1.0,
17,9.0,FRA_19,FRA,1,A_0,,1.0,
8,29.0,FRA_4,FRA,6,D_0,1.0,,
8,29.0,FRA_17,FRA,9,R_0,,1.0,
8,29.0,ITA_8,ITA,Y,JS_0,,1.0,
8,29.0,ITA_5,ITA,1,D_0,,1.0,
8,29.0,ITA_8,ITA,2,G_0,,1.0,
8,29.0,ITA_9,ITA,3,A_0,,,1.0
26,13.0,FRA_2,FRA,8,R_1,,1.0,
26,13.0,FRA_11,FRA,2,G_1,,1.0,
26,13.0,FRA_4,FRA,1,A_0,,,1.0
26,13.0,USA_18,USA,Y,JS_0,,1.0,
26,13.0,USA_11,USA,3,B_0,,1.0,
26,13.0,USA_18,USA,8,D_0,1.0,,
6,41.0,ITA_19,ITA,3,B_0,1.0,,
6,41.0,ITA_15,ITA,7,R_0,,1.0,
6,41.0,ITA_6,ITA,1,G_0,,1.0,
6,41.0,ITA_19,ITA,1,A_0,,1.0,
6,41.0,FRA_4,FRA,Y,JS_0,,1.0,
6,41.0,FRA_14,FRA,3,B_0,,1.0,
6,41.0,FRA_9,FRA,6,D_0,,1.0,
6,41.0,FRA_2,FRA,5,G_1,,1.0,
6,41.0,FRA_17,FRA,1,At_0,,,1.0
26,11.0,USA_22,USA,8,R_0,,1.0,
26,11.0,USA_11,USA,2,G_0,,1.0,
26,11.0,USA_2,USA,2,A_0,,,1.0
26,11.0,FRA_11,FRA,Y,JS_0,,1.0,
26,11.0,FRA_2,FRA,8,D_0,1.0,,
16,45.0,JAP_2,JAP,L,FS_0,1.0,,
1,26.0,POL_16,POL,7,R_0,,1.0,
1,26.0,POL_19,POL,5,G_0,,1.0,
1,26.0,POL_16,POL,1,A_0,,,1.0
1,26.0,IRI_17,IRI,L,JS_0,,1.0,
1,26.0,IRI_18,IRI,3,B_0,1.0,,
26,32.0,FRA_1,FRA,Y,JS_0,1.0,,
15,26.0,ITA_7,ITA,9,R_0,1.0,,
15,26.0,POL_16,POL,M,JS_0,,,1.0
12,13.0,ITA_15,ITA,4,R_1,,1.0,
12,13.0,ITA_6,ITA,2,G_1,,1.0,
12,13.0,ITA_14,ITA,2,A_0,,,1.0
12,13.0,NED_2,NED,R,FS_0,,1.0,
12,13.0,NED_18,NED,8,D_0,1.0,,
4,39.0,IRI_2,IRI,8,R_1,,1.0,
4,39.0,IRI_18,IRI,2,G_1,,1.0,
4,39.0,IRI_2,IRI,2,A_0,,,1.0
4,39.0,POL_7,POL,L,FS_0,,1.0,
4,39.0,POL_14,POL,8,D_0,1.0,,
26,34.0,USA_22,USA,8,R_1,,1.0,
26,34.0,USA_11,USA,2,G_1,,1.0,
26,34.0,USA_20,USA,1,A_0,,,1.0
26,34.0,USA_9,USA,5,D_0,1.0,,
26,34.0,FRA_4,FRA,Y,JS_0,,1.0,
24,38.0,FRA_2,FRA,5,D_0,,1.0,
24,38.0,FRA_11,FRA,6,G_0,,1.0,
24,38.0,FRA_17,FRA,1,A_0,,,1.0
24,38.0,UAS_20,UAS,3,B_0,1.0,,
24,38.0,FRA_9,FRA,5,R_0,,1.0,
24,38.0,FRA_11,FRA,2,G_0,,1.0,
24,38.0,FRA_4,FRA,1,A_0,,1.0,
24,38.0,UAS_11,UAS,Y,JS_0,,1.0,
24,38.0,UAS_20,UAS,1,B_0,,1.0,
24,38.0,UAS_2,UAS,8,D_1,,1.0,
24,38.0,UAS_11,UAS,2,G_1,,1.0,
24,38.0,UAS_15,UAS,3,A_0,,1.0,
9,11.0,ITA_7,ITA,8,R_0,,1.0,
9,11.0,ITA_6,ITA,FZ,G_0,,1.0,
9,11.0,ITA_16,ITA,3,At_0,,,1.0
9,11.0,NED_14,NED,Y,JS_0,,1.0,
9,11.0,NED_18,NED,5,D_0,1.0,,
1,35.0,POL_23,POL,M,JS_0,1.0,,
15,40.0,POL_21,POL,8,R_1,,1.0,
15,40.0,POL_19,POL,2,G_1,,1.0,
15,40.0,POL_20,POL,2,A_0,,,1.0
15,40.0,ITA_16,ITA,L,JS_0,,1.0,
15,40.0,ITA_24,ITA,4,D_0,1.0,,
3,8.0,IRI_2,IRI,8,R_1,,1.0,
3,8.0,IRI_18,IRI,2,G_1,,1.0,
3,8.0,IRI_22,IRI,1,A_0,,,1.0
3,8.0,POL_16,POL,M,JS_0,,1.0,
3,8.0,POL_6,POL,4,D_0,1.0,,
6,4.0,FRA_2,FRA,8,R_0,,1.0,
6,4.0,FRA_11,FRA,2,G_0,,1.0,
6,4.0,FRA_4,FRA,6,A_0,1.0,,
6,4.0,ITA_5,ITA,L,JS_0,,1.0,
6,4.0,ITA_15,ITA,1,B_0,,,1.0
16,25.0,FRA_19,FRA,6,R_0,,1.0,
16,25.0,FRA_11,FRA,5,G_0,,1.0,
16,25.0,FRA_4,FRA,1,A_0,,,1.0
16,25.0,JAP_2,JAP,7,FS_0,,1.0,
16,25.0,JAP_6,JAP,3,B_0,1.0,,
27,2.0,FRA_2,FRA,8,R_0,,1.0,
27,2.0,FRA_11,FRA,2,G_0,,1.0,
27,2.0,FRA_9,FRA,1,A_0,,,1.0
27,2.0,USA_11,USA,Y,JS_0,,1.0,
27,2.0,USA_22,USA,4,D_0,1.0,,
24,29.0,UAS_18,UAS,8,R_1,,1.0,
24,29.0,UAS_11,UAS,2,G_1,,1.0,
24,29.0,UAS_15,UAS,3,A_0,,,1.0
24,29.0,UAS_4,UAS,5,D_0,1.0,,
24,29.0,FRA_14,FRA,Y,JS_0,,1.0,
11,22.0,ITA_7,ITA,8,R_0,,1.0,
11,22.0,ITA_6,ITA,5,G_1,,1.0,
11,22.0,ITA_5,ITA,3,A_0,,,1.0
11,22.0,NED_12,NED,L,FS_0,,1.0,
11,22.0,NED_3,NED,1,B_0,1.0,,
19,41.0,USA_22,USA,8,R_0,,1.0,
19,41.0,USA_11,USA,2,G_0,,1.0,
19,41.0,USA_5,USA,6,A_0,1.0,,
19,41.0,BRA_18,BRA,Y,FS_0,,1.0,
16,48.0,JAP_12,JAP,8,R_1,,1.0,
16,48.0,JAP_9,JAP,2,G_1,,1.0,
16,48.0,JAP_16,JAP,3,A_0,,,1.0
16,48.0,FRA_19,FRA,Y,JS_0,,1.0,
16,48.0,FRA_2,FRA,4,D_0,1.0,,
1,5.0,POL_14,POL,5,D_0,1.0,,
1,5.0,POL_14,POL,7,R_1,,1.0,
1,5.0,POL_19,POL,2,G_1,,1.0,
1,5.0,POL_6,POL,3,A_0,,1.0,
1,5.0,IRI_5,IRI,Y,JS_0,,1.0,
1,5.0,IRI_22,IRI,1,B_0,,,1.0
23,27.0,USA_22,USA,8,R_0,,1.0,
23,27.0,USA_11,USA,3,G_0,,1.0,
23,27.0,USA_15,USA,6,A_0,,,1.0
23,27.0,USA_11,USA,5,D_0,1.0,,
23,27.0,FRA_1,FRA,Y,JS_0,,1.0,
2,25.0,IRI_8,IRI,8,R_0,,1.0,
2,25.0,IRI_22,IRI,8,G_0,,1.0,
2,25.0,IRI_2,IRI,1,A_0,1.0,,
2,25.0,POL_20,POL,L,JS_0,,1.0,
13,31.0,ITA_7,ITA,5,D_0,,1.0,
13,31.0,ITA_6,ITA,2,G_0,,1.0,
13,31.0,ITA_5,ITA,1,A_0,1.0,,
13,31.0,ITA_7,ITA,8,R_0,,1.0,
13,31.0,ITA_6,ITA,2,G_0,,1.0,
13,31.0,ITA_17,ITA,2,A_0,,1.0,
13,31.0,POL_19,POL,L,FS_0,,1.0,
13,31.0,POL_6,POL,3,B_0,,1.0,
23,9.0,FRA_17,FRA,7,R_0,,1.0,
23,9.0,FRA_11,FRA,2,G_0,,1.0,
23,9.0,FRA_17,FRA,1,A_0,,1.0,
23,9.0,USA_11,USA,Y,JS_0,,1.0,
23,9.0,USA_20,USA,3,B_0,,1.0,
23,9.0,USA_20,USA,3,D_0,,1.0,
23,9.0,USA_11,USA,6,D_0,,1.0,
23,9.0,USA_8,USA,2,A_0,1.0,,
3,6.0,POL_14,POL,8,R_0,,1.0,
3,6.0,POL_19,POL,6,G_0,,1.0,
3,6.0,POL_16,POL,1,A_0,,,1.0
3,6.0,IRI_17,IRI,L,JS_0,,1.0,
3,6.0,IRI_22,IRI,4,D_0,1.0,,
17,30.0,FRA_17,FRA,6,R_0,,1.0,
17,30.0,FRA_11,FRA,2,G_0,,1.0,
17,30.0,FRA_17,FRA,3,A_0,,,1.0
17,30.0,JAP_8,JAP,M,JS_0,,1.0,
17,30.0,JAP_7,JAP,8,D_0,1.0,,
4,12.0,IRI_1,IRI,3,At_0,,,1.0
4,12.0,POL_7,POL,2,D_0,1.0,,
4,12.0,IRI_8,IRI,8,R_0,,1.0,
4,12.0,IRI_18,IRI,3,At_0,,1.0,
4,12.0,POL_20,POL,L,JS_0,,1.0,
4,12.0,POL_14,POL,2,B_0,,1.0,
27,1.0,FRA_11,FRA,1,B_0,,1.0,
27,1.0,FRA_17,FRA,9,D_0,1.0,,
27,1.0,USA_2,USA,1,D_0,,1.0,
27,1.0,USA_11,USA,1,G_0,,1.0,
27,1.0,USA_2,USA,1,A_0,,,1.0
27,1.0,FRA_17,FRA,6,R_0,,1.0,
27,1.0,FRA_11,FRA,2,G_0,,1.0,
27,1.0,FRA_4,FRA,4,A_0,,1.0,
27,1.0,USA_11,USA,Y,JS_0,,1.0,
27,1.0,USA_22,USA,7,D_0,,1.0,
27,1.0,USA_20,USA,FZ,G_0,,1.0,
27,1.0,USA_2,USA,1,A_0,,1.0,
26,2.0,USA_8,USA,7,R_1,,1.0,
26,2.0,USA_11,USA,2,G_0,,1.0,
26,2.0,USA_8,USA,1,A_0,,,1.0
26,2.0,FRA_4,FRA,Y,JS_0,,1.0,
26,2.0,FRA_11,FRA,3,B_0,1.0,,
16,44.0,FRA_19,FRA,6,R_0,,1.0,
16,44.0,FRA_11,FRA,2,G_0,1.0,,
16,44.0,JAP_2,JAP,L,FS_0,,1.0,
5,3.0,IRI_17,IRI,3,D_0,1.0,,
5,3.0,IRI_22,IRI,4,R_1,,1.0,
5,3.0,IRI_18,IRI,2,G_0,,1.0,
5,3.0,IRI_17,IRI,3,At_0,,1.0,
5,3.0,POL_7,POL,L,FS_0,,1.0,
5,3.0,POL_16,POL,1,B_0,,,1.0
2,32.0,POL_6,POL,1,D_0,1.0,,
2,32.0,POL_16,POL,4,R_1,,1.0,
2,32.0,POL_19,POL,2,G_0,,1.0,
2,32.0,POL_15,POL,1,A_0,,1.0,
2,32.0,IRI_18,IRI,L,FS_0,,1.0,
2,32.0,IRI_1,IRI,2,B_0,,1.0,
2,32.0,IRI_2,IRI,1,D_0,,1.0,
2,32.0,IRI_17,IRI,3,At_0,,,1.0
18,9.0,FRA_19,FRA,7,R_0,,1.0,
18,9.0,FRA_11,FRA,2,G_1,,1.0,
18,9.0,FRA_4,FRA,3,A_0,,,1.0
18,9.0,JAP_12,JAP,M,JS_0,,1.0,
18,9.0,JAP_12,JAP,9,D_0,1.0,,
2,44.0,IRI_22,IRI,8,D_0,,1.0,
2,44.0,IRI_22,IRI,8,D_0,1.0,,
2,44.0,POL_20,POL,2,D_1,,1.0,
2,44.0,POL_12,POL,3,G_1,,1.0,
2,44.0,POL_20,POL,2,A_0,,,1.0
2,44.0,POL_5,POL,3,A_0,,1.0,
2,44.0,POL_14,POL,4,R_0,,1.0,
2,44.0,POL_12,POL,2,G_0,,1.0,
2,44.0,POL_16,POL,2,A_0,,1.0,
2,44.0,IRI_22,IRI,Y,JS_0,,1.0,
2,44.0,IRI_8,IRI,5,D_0,,1.0,
11,13.0,NED_3,NED,4,R_0,,1.0,
11,13.0,NED_2,NED,4,G_0,,1.0,
11,13.0,NED_14,NED,3,A_0,,1.0,
11,13.0,ITA_15,ITA,L,JS_0,,1.0,
11,13.0,ITA_7,ITA,4,D_0,,1.0,
11,13.0,ITA_6,ITA,8,G_0,,1.0,
11,13.0,ITA_5,ITA,1,A_0,1.0,,
4,35.0,POL_21,POL,Y,JS_0,1.0,,
15,30.0,ITA_15,ITA,8,R_0,,1.0,
15,30.0,ITA_6,ITA,2,G_0,,1.0,
15,30.0,ITA_5,ITA,1,At_0,,,1.0
15,30.0,POL_20,POL,L,JS_0,,1.0,
15,30.0,POL_16,POL,8,D_0,1.0,,
13,21.0,ITA_7,ITA,8,R_0,1.0,,
13,21.0,POL_6,POL,Y,JS_0,,,1.0
19,36.0,USA_22,USA,8,R_0,,1.0,
19,36.0,USA_11,USA,3,G_0,,1.0,
19,36.0,USA_8,USA,1,At_0,1.0,,
19,36.0,BRA_1,BRA,M,FS_0,,1.0,
19,36.0,BRA_28,BRA,3,B_0,,,1.0
28,3.0,POL_14,POL,5,R_0,,1.0,
28,3.0,POL_19,POL,2,G_0,,1.0,
28,3.0,POL_16,POL,1,A_0,,,1.0
28,3.0,USA_4,USA,Y,FS_0,,1.0,
28,3.0,USA_20,USA,3,B_0,1.0,,
18,34.0,FRA_17,FRA,4,R_0,,1.0,
18,34.0,FRA_11,FRA,6,G_0,,1.0,
18,34.0,FRA_14,FRA,2,AT_0,,1.0,
18,34.0,JAP_2,JAP,L,FS_0,,1.0,
18,34.0,JAP_6,JAP,2,B_0,1.0,,
8,17.0,FRA_17,FRA,4,R_1,,1.0,
8,17.0,FRA_11,FRA,2,G_1,,1.0,
8,17.0,FRA_4,FRA,1,A_0,,,1.0
8,17.0,ITA_19,ITA,L,JS_0,,1.0,
8,17.0,ITA_9,ITA,3,B_0,1.0,,
6,23.0,FRA_17,FRA,7,R_0,,1.0,
6,23.0,FRA_11,FRA,1,G_0,,1.0,
6,23.0,FRA_14,FRA,2,A_0,,,1.0
6,23.0,ITA_5,ITA,L,JS_0,,1.0,
6,23.0,ITA_6,ITA,6,D_0,1.0,,
8,21.0,ITA_9,ITA,Y,JS_0,1.0,,
9,25.0,NED_12,NED,L,JS_0,1.0,,
12,28.0,ITA_5,ITA,8,R_0,,1.0,
12,28.0,ITA_6,ITA,2,G_0,,1.0,
12,28.0,ITA_15,ITA,1,At_0,,,1.0
12,28.0,ITA_8,ITA,3,B_0,1.0,,
12,28.0,NED_22,NED,L,FS_0,,1.0,
10,22.0,NED_12,NED,9,R_0,,1.0,
10,22.0,NED_2,NED,2,G_0,,1.0,
10,22.0,NED_8,NED,2,A_0,,,1.0
10,22.0,ITA_5,ITA,L,JS_0,,1.0,
10,22.0,ITA_16,ITA,3,B_0,1.0,,
7,25.0,FRA_11,FRA,2,B_0,1.0,,
7,25.0,FRA_17,FRA,4,R_0,,1.0,
7,25.0,ITA_19,ITA,L,JS_0,,1.0,
7,25.0,ITA_16,ITA,2,A_0,,,1.0
2,16.0,IRI_2,IRI,Y,JS_0,1.0,,
4,22.0,POL_17,POL,7,R_0,,1.0,
4,22.0,POL_12,POL,2,G_0,,1.0,
4,22.0,POL_5,POL,3,A_0,,,1.0
4,22.0,IRI_1,IRI,M,FS_0,,1.0,
4,22.0,IRI_22,IRI,1,B_0,1.0,,
17,24.0,JAP_7,JAP,M,JS_0,1.0,,
2,46.0,POL_16,POL,8,R_0,,1.0,
2,46.0,POL_12,POL,2,G_0,,1.0,
2,46.0,POL_14,POL,1,At_0,,1.0,
2,46.0,IRI_5,IRI,M,JS_0,,1.0,
2,46.0,IRI_18,IRI,3,B_0,,1.0,
2,46.0,IRI_18,IRI,FZ,D_0,,1.0,
2,46.0,IRI_1,IRI,FZ,G_0,,1.0,
2,46.0,IRI_17,IRI,3,A_0,1.0,,
3,2.0,POL_15,POL,Y,JS_0,1.0,,
6,38.0,FRA_4,FRA,3,B_0,1.0,,
6,38.0,FRA_9,FRA,8,R_1,,1.0,
6,38.0,FRA_11,FRA,2,G_1,,1.0,
6,38.0,FRA_17,FRA,1,A_0,,1.0,
6,38.0,ITA_6,ITA,Y,JS_0,,1.0,
6,38.0,ITA_7,ITA,4,D_0,,1.0,
6,38.0,ITA_6,ITA,3,G_0,,1.0,
6,38.0,ITA_5,ITA,1,A_0,,,1.0
1,32.0,IRI_1,IRI,4,R_1,,1.0,
1,32.0,IRI_18,IRI,2,G_1,,1.0,
1,32.0,IRI_17,IRI,3,At_0,,,1.0
1,32.0,POL_19,POL,L,FS_0,,1.0,
1,32.0,POL_17,POL,1,D_0,1.0,,
6,10.0,FRA_17,FRA,6,R_1,,1.0,
6,10.0,FRA_11,FRA,2,G_1,,1.0,
6,10.0,FRA_14,FRA,1,A_0,,,1.0
6,10.0,ITA_19,ITA,L,JS_0,,1.0,
6,10.0,ITA_5,ITA,5,D_0,1.0,,
25,4.0,FRA_9,FRA,5,R_1,,1.0,
25,4.0,FRA_11,FRA,2,G_1,,1.0,
25,4.0,FRA_17,FRA,1,A_0,,,1.0
25,4.0,USA_20,USA,M,JS_0,,1.0,
25,4.0,USA_4,USA,2,B_0,,1.0,
25,4.0,USA_8,USA,3,D_0,1.0,,
19,1.0,USA_11,USA,3,B_0,1.0,,
19,1.0,USA_8,USA,8,R_0,,1.0,
19,1.0,USA_11,USA,2,G_0,,1.0,
19,1.0,USA_2,USA,1,A_0,,1.0,
19,1.0,BRA_23,BRA,L,FS_0,,1.0,
19,1.0,BRA_12,BRA,3,B_0,,1.0,
19,1.0,BRA_9,BRA,8,D_0,,1.0,
19,1.0,BRA_1,BRA,6,G_0,,1.0,
19,1.0,BRA_18,BRA,1,A_0,,,1.0
11,21.0,ITA_15,ITA,8,R_0,1.0,,
11,21.0,NED_12,NED,L,FS_0,,,1.0
5,10.0,POL_16,POL,M,JS_0,1.0,,
6,2.0,ITA_15,ITA,7,R_0,1.0,,
6,2.0,FRA_4,FRA,Y,JS_0,,,1.0
12,14.0,ITA_15,ITA,L,JS_0,1.0,,
15,17.0,POL_21,POL,6,R_0,,1.0,
15,17.0,POL_6,POL,4,G_0,,1.0,
15,17.0,POL_21,POL,1,A_0,,,1.0
15,17.0,ITA_6,ITA,M,JS_0,,1.0,
15,17.0,ITA_17,ITA,1,B_0,1.0,,
11,20.0,ITA_6,ITA,M,JS_0,1.0,,
21,2.0,USA_11,USA,Y,JS_0,1.0,,
15,29.0,ITA_7,ITA,8,R_0,1.0,,
15,29.0,POL_20,POL,L,JS_0,,,1.0
25,23.0,FRA_14,FRA,1,B_0,,1.0,
25,23.0,FRA_4,FRA,8,D_0,1.0,,
25,23.0,FRA_17,FRA,7,R_0,,1.0,
25,23.0,FRA_11,FRA,2,G_0,,1.0,
25,23.0,FRA_9,FRA,2,A_0,,1.0,
25,23.0,USA_8,USA,Y,JS_0,,1.0,
25,23.0,USA_2,USA,8,D_0,,1.0,
25,23.0,USA_11,USA,3,G_0,,1.0,
25,23.0,USA_8,USA,3,A_0,,,1.0
11,27.0,ITA_7,ITA,4,D_0,,1.0,
11,27.0,ITA_6,ITA,5,G_0,,1.0,
11,27.0,ITA_15,ITA,1,At_0,,,1.0
11,27.0,NED_14,NED,5,D_0,1.0,,
11,27.0,ITA_5,ITA,8,R_0,,1.0,
11,27.0,ITA_6,ITA,5,G_0,,1.0,
11,27.0,ITA_15,ITA,1,At_0,,1.0,
11,27.0,NED_14,NED,Y,JS_0,,1.0,
11,27.0,NED_2,NED,3,B_0,,1.0,
20,12.0,USA_8,USA,8,D_0,,1.0,
20,12.0,USA_11,USA,2,G_0,,1.0,
20,12.0,USA_4,USA,2,A_0,,,1.0
